"Date","Country","Confirmed","Recovered","Deaths","Day","dcases","drecovered","dDeaths"
2020-01-22,"France",0,0,0,1,9,-2,0
2020-01-23,"France",0,0,0,2,9,-2,0
2020-01-24,"France",2,0,0,3,13,-2,0
2020-01-25,"France",3,0,0,4,13,-2,0
2020-01-26,"France",3,0,0,5,12,-2,0
2020-01-27,"France",3,0,0,6,12,-2,0
2020-01-28,"France",4,0,0,7,14,-2,0
2020-01-29,"France",5,0,0,8,15,-2,0
2020-01-30,"France",5,0,0,9,14,-2,0
2020-01-31,"France",5,0,0,10,14,-2,0
2020-02-01,"France",6,0,0,11,16,-2,0
2020-02-02,"France",6,0,0,12,15,-2,0
2020-02-03,"France",6,0,0,13,15,-2,0
2020-02-04,"France",6,0,0,14,15,-2,0
2020-02-05,"France",6,0,0,15,15,-2,0
2020-02-06,"France",6,0,0,16,15,-2,0
2020-02-07,"France",6,0,0,17,15,-2,0
2020-02-08,"France",11,0,0,18,24,-1,0
2020-02-09,"France",11,0,0,19,20,-2,0
2020-02-10,"France",11,0,0,20,20,-2,0
2020-02-11,"France",11,0,0,21,20,-2,0
2020-02-12,"France",11,2,0,22,20,2,0
2020-02-13,"France",11,2,0,23,20,0,0
2020-02-14,"France",11,2,0,24,20,0,0
2020-02-15,"France",12,4,1,25,22,5,2
2020-02-16,"France",12,4,1,26,21,2,1
2020-02-17,"France",12,4,1,27,21,2,1
2020-02-18,"France",12,4,1,28,21,2,1
2020-02-19,"France",12,4,1,29,21,2,1
2020-02-20,"France",12,4,1,30,21,2,1
2020-02-21,"France",12,4,1,31,21,2,1
2020-02-22,"France",12,4,1,32,21,2,1
2020-02-23,"France",12,4,1,33,21,2,1
2020-02-24,"France",12,4,1,34,21,2,1
2020-02-25,"France",14,11,1,35,25,14,1
2020-02-26,"France",18,11,2,36,31,10,3
2020-02-27,"France",38,11,2,37,65,10,2
2020-02-28,"France",57,11,2,38,83,10,2
2020-02-29,"France",100,12,2,39,148,13,2
2020-03-01,"France",130,12,2,40,166,12,2
2020-03-02,"France",191,12,3,41,255,15,4
2020-03-03,"France",204,12,4,42,225,14,5
2020-03-04,"France",288,12,4,43,373,15,5
2020-03-05,"France",380,12,6,44,473,19,9
2020-03-06,"France",656,12,9,45,915,27,15
2020-03-07,"France",959,12,11,46,1242,31,17
2020-03-08,"France",1136,12,19,47,1308,35,27
2020-03-09,"France",1219,12,19,48,1304,24,19
2020-03-10,"France",1794,12,33,49,2326,56,53
2020-03-11,"France",2293,12,48,50,2757,58,67
2020-03-12,"France",2293,12,48,51,2305,29,46
2020-03-13,"France",3681,12,79,52,4948,104,125
2020-03-14,"France",4496,12,91,53,5245,79,112
2020-03-15,"France",4532,12,91,54,4579,49,88
2020-03-16,"France",6683,12,149,55,8644,168,228
2020-03-17,"France",7715,12,149,56,8659,96,162
2020-03-18,"France",9124,12,149,57,10407,123,167
2020-03-19,"France",10970,12,244,58,12680,244,344
2020-03-20,"France",12758,12,451,59,14478,353,638
2020-03-21,"France",14463,12,563,60,16059,205,680
2020-03-22,"France",16243,2206,676,61,17908,3714,797
2020-03-23,"France",20123,2206,862,62,23696,2534,1076
2020-03-24,"France",22622,3250,1102,63,25009,4294,1336
2020-03-25,"France",25600,3907,1333,64,28410,4681,1573
2020-03-26,"France",29551,4955,1698,65,33333,6132,2057
2020-03-27,"France",33402,5707,1997,66,37044,6570,2313
2020-03-28,"France",38105,5724,2317,67,42520,6101,2668
2020-03-29,"France",40708,7226,2611,68,43248,8450,2913
2020-03-30,"France",45170,7964,3030,69,49471,8893,3458
2020-03-31,"France",52827,9513,3532,70,60020,10995,4075
2020-04-01,"France",57749,11053,4414,71,63116,13170,5156
2020-04-02,"France",59929,12548,5398,72,63063,14671,6168
2020-04-03,"France",65202,14135,6520,73,71365,16474,7431
2020-04-04,"France",69500,15572,7574,74,74664,17535,8452
2020-04-05,"France",71412,16349,8093,75,73590,16744,8634
2020-04-06,"France",75343,17428,8926,76,79769,18556,9699
2020-04-07,"France",79163,19523,10343,77,84786,22504,11405
2020-04-08,"France",83057,21452,10887,78,87036,22360,11505
2020-04-09,"France",87366,23413,12228,79,93228,26075,13278
2020-04-10,"France",91738,25195,13215,80,96854,26889,14104
2020-04-11,"France",94863,26663,13851,81,98292,27470,14521
2020-04-12,"France",121712,27469,14412,82,144945,26403,15378
2020-04-13,"France",125394,28001,14986,83,129265,28409,15613
2020-04-14,"France",130365,29098,15748,84,135645,30266,16506
2020-04-15,"France",133585,31470,17188,85,138794,35035,18233
2020-04-16,"France",146075,33327,17941,86,157849,34909,18799
2020-04-17,"France",148084,35006,18703,87,150759,36812,19385
2020-04-18,"France",148086,36587,19345,88,148786,38136,19913
2020-04-19,"France",153011,37183,19744,89,157809,37837,20237
2020-04-20,"France",155393,38036,20292,90,158106,39188,20830
2020-04-21,"France",158168,39819,20829,91,161220,41579,21359
2020-04-22,"France",155980,41326,21373,92,156558,42980,21849
2020-04-23,"France",158303,42762,21889,93,160928,44465,22379
2020-04-24,"France",159952,44271,22279,94,161845,45874,22666
2020-04-25,"France",161644,45372,22648,95,163557,46789,23014
2020-04-26,"France",162220,45681,22890,96,163033,46435,23142
2020-04-27,"France",165963,46293,23327,97,169768,47691,23760
2020-04-28,"France",169053,47775,23694,98,172215,49669,24060
2020-04-29,"France",166543,49118,24121,99,167000,51069,24463
2020-04-30,"France",167299,50380,24410,100,168312,52151,24663
