"Date","Country","Confirmed","Recovered","Deaths","Day","dcases","drecovered","dDeaths"
2020-01-22,"Germany",0,0,0,1,9,-2,0
2020-01-23,"Germany",0,0,0,2,9,-2,0
2020-01-24,"Germany",0,0,0,3,9,-2,0
2020-01-25,"Germany",0,0,0,4,9,-2,0
2020-01-26,"Germany",0,0,0,5,9,-2,0
2020-01-27,"Germany",1,0,0,6,11,-2,0
2020-01-28,"Germany",4,0,0,7,15,-2,0
2020-01-29,"Germany",4,0,0,8,13,-2,0
2020-01-30,"Germany",4,0,0,9,13,-2,0
2020-01-31,"Germany",5,0,0,10,15,-2,0
2020-02-01,"Germany",8,0,0,11,19,-2,0
2020-02-02,"Germany",10,0,0,12,21,-2,0
2020-02-03,"Germany",12,0,0,13,23,-2,0
2020-02-04,"Germany",12,0,0,14,21,-2,0
2020-02-05,"Germany",12,0,0,15,21,-2,0
2020-02-06,"Germany",12,0,0,16,21,-2,0
2020-02-07,"Germany",13,0,0,17,23,-2,0
2020-02-08,"Germany",13,0,0,18,22,-2,0
2020-02-09,"Germany",14,0,0,19,24,-2,0
2020-02-10,"Germany",14,0,0,20,23,-2,0
2020-02-11,"Germany",16,0,0,21,27,-1,0
2020-02-12,"Germany",16,0,0,22,25,-2,0
2020-02-13,"Germany",16,1,0,23,25,0,0
2020-02-14,"Germany",16,1,0,24,25,-1,0
2020-02-15,"Germany",16,1,0,25,25,-1,0
2020-02-16,"Germany",16,1,0,26,25,-1,0
2020-02-17,"Germany",16,1,0,27,25,-1,0
2020-02-18,"Germany",16,12,0,28,25,18,0
2020-02-19,"Germany",16,12,0,29,25,11,0
2020-02-20,"Germany",16,12,0,30,25,11,0
2020-02-21,"Germany",16,14,0,31,25,14,0
2020-02-22,"Germany",16,14,0,32,25,13,0
2020-02-23,"Germany",16,14,0,33,25,13,0
2020-02-24,"Germany",16,14,0,34,25,13,0
2020-02-25,"Germany",17,14,0,35,27,13,0
2020-02-26,"Germany",27,15,0,36,45,15,0
2020-02-27,"Germany",46,16,0,37,72,16,0
2020-02-28,"Germany",48,16,0,38,59,15,0
2020-02-29,"Germany",79,16,0,39,116,16,0
2020-03-01,"Germany",130,16,0,40,185,18,0
2020-03-02,"Germany",159,16,0,41,194,18,0
2020-03-03,"Germany",196,16,0,42,238,18,0
2020-03-04,"Germany",262,16,0,43,330,20,0
2020-03-05,"Germany",482,16,0,44,689,27,3
2020-03-06,"Germany",670,17,0,45,849,31,2
2020-03-07,"Germany",799,18,0,46,925,33,1
2020-03-08,"Germany",1040,18,0,47,1267,38,3
2020-03-09,"Germany",1176,18,2,48,1309,40,4
2020-03-10,"Germany",1457,18,2,49,1720,45,5
2020-03-11,"Germany",1908,25,3,50,2325,68,9
2020-03-12,"Germany",2078,25,3,51,2242,59,3
2020-03-13,"Germany",3675,46,7,52,5121,148,33
2020-03-14,"Germany",4585,46,9,53,5417,133,21
2020-03-15,"Germany",5795,46,11,54,6897,156,26
2020-03-16,"Germany",7272,67,17,55,8615,221,38
2020-03-17,"Germany",9257,67,24,56,11056,242,53
2020-03-18,"Germany",12327,105,28,57,15094,356,69
