"Date","Country","Confirmed","Recovered","Deaths","Day","dcases","drecovered","dDeaths"
"2020-01-23","Spain",0,0,0,1,-13330,-5201,-1553
"2020-01-24","Spain",0,0,0,2,-9721,-3934,-1149
"2020-01-25","Spain",0,0,0,3,-6519,-2794,-789
"2020-01-26","Spain",0,0,0,4,-3704,-1776,-471
"2020-01-27","Spain",0,0,0,5,-1257,-874,-192
"2020-01-28","Spain",0,0,0,6,843,-82,49
"2020-01-29","Spain",0,0,0,7,2613,604,255
"2020-01-30","Spain",0,0,0,8,4073,1189,427
"2020-01-31","Spain",0,0,0,9,5242,1679,568
"2020-02-01","Spain",1,0,0,10,6140,2080,679
"2020-02-02","Spain",1,0,0,11,6785,2395,762
"2020-02-03","Spain",1,0,0,12,7195,2630,819
"2020-02-04","Spain",1,0,0,13,7390,2791,852
"2020-02-05","Spain",1,0,0,14,7387,2882,864
"2020-02-06","Spain",1,0,0,15,7205,2909,854
"2020-02-07","Spain",1,0,0,16,6862,2876,827
"2020-02-08","Spain",1,0,0,17,6375,2788,783
"2020-02-09","Spain",2,0,0,18,5762,2651,724
"2020-02-10","Spain",2,0,0,19,5041,2468,652
"2020-02-11","Spain",2,0,0,20,4228,2246,568
"2020-02-12","Spain",2,0,0,21,3339,1989,476
"2020-02-13","Spain",2,0,0,22,2392,1701,375
"2020-02-14","Spain",2,0,0,23,1403,1387,268
"2020-02-15","Spain",2,2,0,24,386,1052,157
"2020-02-16","Spain",2,2,0,25,-641,701,42
"2020-02-17","Spain",2,2,0,26,-1665,338,-73
"2020-02-18","Spain",2,2,0,27,-2671,-33,-189
"2020-02-19","Spain",2,2,0,28,-3644,-408,-303
"2020-02-20","Spain",2,2,0,29,-4570,-781,-414
"2020-02-21","Spain",2,2,0,30,-5436,-1149,-520
"2020-02-22","Spain",2,2,0,31,-6229,-1507,-621
"2020-02-23","Spain",2,2,0,32,-6936,-1852,-714
"2020-02-24","Spain",2,2,0,33,-7544,-2179,-798
"2020-02-25","Spain",6,2,0,34,-8043,-2485,-873
"2020-02-26","Spain",13,2,0,35,-8421,-2765,-937
"2020-02-27","Spain",15,2,0,36,-8666,-3016,-988
"2020-02-28","Spain",32,2,0,37,-8770,-3234,-1027
"2020-02-29","Spain",45,2,0,38,-8722,-3416,-1050
"2020-03-01","Spain",84,2,0,39,-8514,-3558,-1059
"2020-03-02","Spain",120,2,0,40,-8135,-3656,-1051
"2020-03-03","Spain",165,2,1,41,-7580,-3707,-1026
"2020-03-04","Spain",222,2,2,42,-6839,-3709,-982
"2020-03-05","Spain",259,2,3,43,-5907,-3658,-920
"2020-03-06","Spain",400,2,5,44,-4777,-3550,-838
"2020-03-07","Spain",500,30,10,45,-3444,-3384,-736
"2020-03-08","Spain",673,30,17,46,-1902,-3156,-612
"2020-03-09","Spain",1073,32,28,47,-148,-2863,-468
"2020-03-10","Spain",1695,32,35,48,1822,-2504,-301
"2020-03-11","Spain",2277,183,54,49,4011,-2075,-111
"2020-03-12","Spain",2277,183,55,50,6422,-1575,101
"2020-03-13","Spain",5232,193,133,51,9055,-1000,336
"2020-03-14","Spain",6391,517,195,52,11911,-350,595
"2020-03-15","Spain",7798,517,289,53,14990,378,877
"2020-03-16","Spain",9942,530,342,54,18292,1186,1182
"2020-03-17","Spain",11748,1028,533,55,21815,2076,1512
"2020-03-18","Spain",13910,1081,623,56,25556,3048,1864
"2020-03-19","Spain",17963,1107,830,57,29512,4105,2241
"2020-03-20","Spain",20410,1588,1043,58,33679,5247,2640
"2020-03-21","Spain",25374,2125,1375,59,38053,6476,3063
"2020-03-22","Spain",28768,2575,1772,60,42628,7793,3507
"2020-03-23","Spain",35136,2575,2311,61,47396,9199,3974
"2020-03-24","Spain",39885,3794,2808,62,52351,10694,4463
"2020-03-25","Spain",49515,5367,3647,63,57484,12278,4972
"2020-03-26","Spain",57786,7015,4365,64,62785,13953,5502
"2020-03-27","Spain",65719,9357,5138,65,68246,15719,6051
"2020-03-28","Spain",73235,12285,5982,66,73853,17574,6619
"2020-03-29","Spain",80110,14709,6803,67,79596,19520,7204
"2020-03-30","Spain",87956,16780,7716,68,85461,21557,7806
"2020-03-31","Spain",95923,19259,8464,69,91435,23682,8423
"2020-04-01","Spain",104118,22647,9387,70,97501,25897,9054
"2020-04-02","Spain",112065,26743,10348,71,103644,28201,9698
"2020-04-03","Spain",119199,30513,11198,72,109847,30591,10354
"2020-04-04","Spain",126168,34219,11947,73,116092,33068,11019
"2020-04-05","Spain",131646,38080,12641,74,122358,35630,11692
"2020-04-06","Spain",136675,40437,13341,75,128627,38275,12372
"2020-04-07","Spain",141942,43208,14045,76,134877,41001,13056
"2020-04-08","Spain",148220,48021,14792,77,141084,43808,13744
"2020-04-09","Spain",153222,52165,15447,78,147226,46692,14431
"2020-04-10","Spain",158273,55668,16081,79,153277,49652,15118
"2020-04-11","Spain",163027,59109,16606,80,159212,52685,15800
"2020-04-12","Spain",166831,62391,17209,81,165004,55789,16476
"2020-04-13","Spain",170099,64727,17756,82,170624,58960,17144
"2020-04-14","Spain",172541,67504,18056,83,176042,62196,17800
"2020-04-15","Spain",177644,70853,18708,84,181229,65493,18443
"2020-04-16","Spain",184948,74797,19315,85,186152,68848,19069
"2020-04-17","Spain",190839,74797,20002,86,190778,72257,19675
"2020-04-18","Spain",191726,74797,20043,87,195073,75716,20258
"2020-04-19","Spain",198674,77357,20453,88,199001,79222,20816
"2020-04-20","Spain",200210,80587,20852,89,202525,82770,21344
"2020-04-21","Spain",204178,82514,21282,90,205607,86355,21840
"2020-04-22","Spain",208389,85915,21717,91,208207,89972,22300
"2020-04-23","Spain",213024,89250,22157,92,210285,93617,22720
"2020-04-24","Spain",202990,92355,22524,93,211797,97285,23096
