"Date","Country","Confirmed","Recovered","Deaths","Day","dcases","drecovered","dDeaths"
2020-01-22,"United Kingdom",0,0,0,1,8,-4,0
2020-01-23,"United Kingdom",0,0,0,2,8,-4,0
2020-01-24,"United Kingdom",0,0,0,3,8,-4,0
2020-01-25,"United Kingdom",0,0,0,4,8,-4,0
2020-01-26,"United Kingdom",0,0,0,5,8,-4,0
2020-01-27,"United Kingdom",0,0,0,6,8,-4,0
2020-01-28,"United Kingdom",0,0,0,7,8,-4,0
2020-01-29,"United Kingdom",0,0,0,8,8,-4,0
2020-01-30,"United Kingdom",0,0,0,9,8,-4,0
2020-01-31,"United Kingdom",2,0,0,10,11,-4,0
2020-02-01,"United Kingdom",2,0,0,11,10,-4,0
2020-02-02,"United Kingdom",2,0,0,12,10,-4,0
2020-02-03,"United Kingdom",2,0,0,13,10,-4,0
2020-02-04,"United Kingdom",2,0,0,14,10,-4,0
2020-02-05,"United Kingdom",2,0,0,15,10,-4,0
2020-02-06,"United Kingdom",2,0,0,16,10,-4,0
2020-02-07,"United Kingdom",3,0,0,17,11,-4,0
2020-02-08,"United Kingdom",3,0,0,18,11,-4,0
2020-02-09,"United Kingdom",3,0,0,19,11,-4,0
2020-02-10,"United Kingdom",8,0,0,20,20,-4,0
2020-02-11,"United Kingdom",8,0,0,21,16,-4,0
2020-02-12,"United Kingdom",9,1,0,22,17,-2,0
2020-02-13,"United Kingdom",9,1,0,23,17,-3,0
2020-02-14,"United Kingdom",9,1,0,24,17,-3,0
2020-02-15,"United Kingdom",9,1,0,25,17,-3,0
2020-02-16,"United Kingdom",9,8,0,26,17,8,0
2020-02-17,"United Kingdom",9,8,0,27,17,4,0
2020-02-18,"United Kingdom",9,8,0,28,17,4,0
2020-02-19,"United Kingdom",9,8,0,29,17,4,0
2020-02-20,"United Kingdom",9,8,0,30,17,4,0
2020-02-21,"United Kingdom",9,8,0,31,17,4,0
2020-02-22,"United Kingdom",9,8,0,32,17,4,0
2020-02-23,"United Kingdom",9,8,0,33,17,4,0
2020-02-24,"United Kingdom",13,8,0,34,24,4,0
2020-02-25,"United Kingdom",13,8,0,35,21,4,0
2020-02-26,"United Kingdom",13,8,0,36,21,4,0
2020-02-27,"United Kingdom",15,8,0,37,24,4,0
2020-02-28,"United Kingdom",20,8,0,38,32,4,0
2020-02-29,"United Kingdom",23,8,0,39,33,4,0
2020-03-01,"United Kingdom",36,8,0,40,55,5,0
2020-03-02,"United Kingdom",40,8,0,41,51,5,0
2020-03-03,"United Kingdom",51,8,0,42,68,5,0
2020-03-04,"United Kingdom",86,8,0,43,124,5,0
2020-03-05,"United Kingdom",116,8,1,44,150,7,2
2020-03-06,"United Kingdom",164,8,2,45,214,7,3
2020-03-07,"United Kingdom",207,18,2,46,252,23,2
2020-03-08,"United Kingdom",274,18,3,47,340,19,5
2020-03-09,"United Kingdom",322,18,4,48,372,20,5
2020-03-10,"United Kingdom",384,19,6,49,447,23,8
2020-03-11,"United Kingdom",459,19,8,50,534,24,10
2020-03-12,"United Kingdom",459,19,8,51,468,23,7
2020-03-13,"United Kingdom",802,19,8,52,1103,25,15
2020-03-14,"United Kingdom",1144,19,21,53,1458,41,36
2020-03-15,"United Kingdom",1145,19,21,54,1157,36,20
2020-03-16,"United Kingdom",1551,21,56,55,1940,63,86
2020-03-17,"United Kingdom",1960,53,56,56,2321,90,65
2020-03-18,"United Kingdom",2642,67,72,57,3252,114,96
2020-03-19,"United Kingdom",2716,67,138,58,2856,148,179
2020-03-20,"United Kingdom",4014,67,178,59,5174,118,234
2020-03-21,"United Kingdom",5067,67,234,60,6037,148,294
2020-03-22,"United Kingdom",5745,67,282,61,6390,153,330
2020-03-23,"United Kingdom",6726,67,336,62,7638,161,396
2020-03-24,"United Kingdom",8164,140,423,63,9500,304,515
2020-03-25,"United Kingdom",9640,140,466,64,10972,245,533
2020-03-26,"United Kingdom",11812,150,580,65,13810,327,706
2020-03-27,"United Kingdom",14745,151,761,66,17465,383,946
2020-03-28,"United Kingdom",17312,151,1021,67,19804,461,1251
2020-03-29,"United Kingdom",19780,151,1231,68,22146,423,1437
2020-03-30,"United Kingdom",22453,171,1411,69,24972,437,1610
2020-03-31,"United Kingdom",25481,179,1793,70,28513,593,2125
2020-04-01,"United Kingdom",29865,179,2357,71,34261,684,2837
2020-04-02,"United Kingdom",34173,192,2926,72,38522,682,3427
2020-04-03,"United Kingdom",38689,208,3611,73,43356,760,4200
2020-04-04,"United Kingdom",42477,215,4320,74,46558,754,4930
2020-04-05,"United Kingdom",48436,229,4943,75,54298,609,5566
2020-04-06,"United Kingdom",52279,287,5385,76,56144,603,5877
2020-04-07,"United Kingdom",55949,325,6171,77,60053,911,6864
2020-04-08,"United Kingdom",61474,345,7111,78,67361,968,7943
2020-04-09,"United Kingdom",65872,359,7993,79,70736,927,8789
2020-04-10,"United Kingdom",74605,588,8974,80,83336,1211,9914
2020-04-11,"United Kingdom",79874,622,9892,81,85562,1240,10746
2020-04-12,"United Kingdom",85206,626,10629,82,90752,1069,11395
2020-04-13,"United Kingdom",89570,304,11347,83,94275,780,12087
2020-04-14,"United Kingdom",94845,323,12129,84,100416,870,12923
2020-04-15,"United Kingdom",99483,368,12894,85,104500,968,13666
2020-04-16,"United Kingdom",104145,375,13759,86,109309,1085,14582
2020-04-17,"United Kingdom",109769,394,14607,87,115751,1114,15435
2020-04-18,"United Kingdom",115314,414,15498,88,121291,1247,16338
2020-04-19,"United Kingdom",121172,436,16095,89,127097,1052,16777
2020-04-20,"United Kingdom",125856,446,16550,90,130633,1039,17124
2020-04-21,"United Kingdom",130172,638,17378,91,135054,1775,18131
2020-04-22,"United Kingdom",134638,683,18151,92,139595,1756,18863
2020-04-23,"United Kingdom",139246,712,18791,93,144185,1724,19421
2020-04-24,"United Kingdom",144640,724,19567,94,150417,1933,20266
2020-04-25,"United Kingdom",149569,774,20381,95,155000,2169,21069
2020-04-26,"United Kingdom",154037,778,20794,96,158643,1864,21245
2020-04-27,"United Kingdom",158348,807,21157,97,162777,1948,21566
